clip_id,anomaly_type,psnr,ssim,lpips,tlp,warp_error,residual_drop,mask_iou
ped2_Train001_00_static_object,static_object,28.531373047613428,0.9917844720184803,0.08561912178993225,0.018832720816135406,1.2212265729904175,0.007317701083668524,0.8091743119266055
ped2_Train001_01_moving_object,moving_object,43.52273067214422,0.998100284487009,0.0040007662028074265,0.024070993065834045,1.2750200033187866,0.3857932301812574,0.7846201454432926
ped2_Train001_02_local_appearance,local_appearance,29.22824552037649,0.9908793941140175,0.039312802255153656,0.019289689138531685,1.1289591789245605,0.5114113496601036,0.8542336548767417
ped2_Train001_03_static_object,static_object,28.58071019627981,0.9917823076248169,0.056955985724925995,0.018292753025889397,1.105500340461731,0.000383959363316743,0.8091743119266055
ped2_Train001_04_moving_object,moving_object,53.45932652928762,0.999749556183815,0.0005793686723336577,0.02073957957327366,1.0786129236221313,0.37940197177373924,0.7846201454432926
ped2_Train001_05_local_appearance,local_appearance,29.113448166631983,0.9900625497102737,0.03799641877412796,0.019017474725842476,1.103674292564392,0.2564846415117877,0.8542336548767417
ped2_Train001_06_static_object,static_object,30.656931900762842,0.9982224740087986,0.06899012625217438,0.019417323172092438,1.1484352350234985,0.07747138793511692,0.8091743119266055
ped2_Train002_00_moving_object,moving_object,71.51414921262197,0.9999691024422646,1.1570295100682415e-05,0.021010663360357285,1.350704312324524,0.9825667404618939,0.7846201454432926
ped2_Train002_01_local_appearance,local_appearance,29.624254011892603,0.9893239662051201,0.0339328795671463,0.020227806642651558,1.2512593269348145,0.38203809594373933,0.8542336548767417
ped2_Train002_02_static_object,static_object,30.454289221548365,0.99623042345047,0.059910669922828674,0.01921827159821987,1.2514499425888062,0.0728039133739296,0.8091743119266055
ped2_Train002_03_moving_object,moving_object,65.10703375317983,0.9999210014939308,4.616338264895603e-05,0.020731139928102493,1.2530924081802368,0.67573015749803,0.7846201454432926
ped2_Train002_04_local_appearance,local_appearance,35.576996111654566,0.9941574037075043,0.014964638277888298,0.02189910039305687,1.2424713373184204,0.9113754122176797,0.8542336548767417
ped2_Train002_05_static_object,static_object,29.17596747853689,0.9910067059099674,0.054644711315631866,0.017866309732198715,1.2327077388763428,0.020299483106519967,0.8091743119266055
ped2_Train002_06_moving_object,moving_object,75.86361935117178,0.9999847374856472,5.286289706418756e-06,0.021947937086224556,1.2248467206954956,0.9889831502098474,0.7846201454432926
ped2_Train002_07_local_appearance,local_appearance,36.4404492614501,0.9947536252439022,0.011228810995817184,0.020883336663246155,1.2337646484375,0.9262230200286425,0.8542336548767417
ped2_Train002_08_static_object,static_object,28.545444512152002,0.9918435141444206,0.06387561559677124,0.021592820063233376,1.2632904052734375,0.014332765199337943,0.8091743119266055
ped2_Train003_00_moving_object,moving_object,40.40422251202993,0.9970905259251595,0.004436312709003687,0.02671143040060997,1.4172135591506958,0.20476864812671228,0.7846201454432926
ped2_Train003_01_local_appearance,local_appearance,29.194876456045435,0.9903533942997456,0.03693413361907005,0.02060081996023655,1.272651195526123,0.19028789197109303,0.8542336548767417
ped2_Train003_02_static_object,static_object,28.38984777905874,0.9914714992046356,0.06782058626413345,0.020621875301003456,1.216865062713623,0.006406107809066133,0.8091743119266055
ped2_Train003_03_moving_object,moving_object,39.52995588757925,0.9969299919903278,0.004078920464962721,0.025864288210868835,1.335655927658081,0.10066252425710069,0.7846201454432926
ped2_Train003_04_local_appearance,local_appearance,29.33952023961477,0.9892698340117931,0.043735798448324203,0.019819704815745354,1.177971363067627,0.9727120611520319,0.8542336548767417
ped2_Train003_05_static_object,static_object,30.722015404485987,0.9981880784034729,0.07251833379268646,0.019457915797829628,1.1396026611328125,0.0035833683032135155,0.8091743119266055
ped2_Train003_06_moving_object,moving_object,53.37769319989614,0.9997451864182949,0.0004700178687926382,0.020830681547522545,1.1735416650772095,0.4841831284131694,0.7846201454432926
ped2_Train003_07_local_appearance,local_appearance,34.05427386739187,0.9922805801033974,0.0274406336247921,0.019946077838540077,1.1334757804870605,0.9337551375759516,0.8542336548767417
ped2_Train003_08_static_object,static_object,30.688353085302637,0.9986589550971985,0.06915777921676636,0.018654298037290573,1.1841685771942139,0.01790419536595446,0.8091743119266055
ped2_Train004_00_moving_object,moving_object,47.01487524189882,0.9990881904959679,0.00196047592908144,0.01312739122658968,0.7292598485946655,0.41460067709786536,0.7846201454432926
ped2_Train004_01_local_appearance,local_appearance,29.074143671774195,0.9894026704132557,0.0659552663564682,0.009740128181874752,0.6160796880722046,0.9202646677022036,0.8542336548767417
ped2_Train004_02_static_object,static_object,30.772409939550684,0.997737992554903,0.04883387312293053,0.010239304043352604,0.6362246870994568,-0.005225007769015651,0.8136531365313653
ped2_Train004_03_moving_object,moving_object,71.83243324735098,0.9999509565532207,2.841407695086673e-05,0.011507590301334858,0.6581810712814331,0.6682396742724231,0.7846201454432926
ped2_Train004_04_local_appearance,local_appearance,29.283628964208887,0.9910321719944477,0.03346174210309982,0.011980810202658176,0.6542307734489441,0.9336569330315854,0.8542336548767417
ped2_Train004_05_static_object,static_object,30.427827143453882,0.9953191131353378,0.05708744376897812,0.013777862302958965,0.6698136925697327,0.004283807231217927,0.8091743119266055
ped2_Train004_06_moving_object,moving_object,44.256216788076685,0.9985798038542271,0.0028316008392721415,0.016286656260490417,0.7462402582168579,0.2260403102915757,0.7846201454432926
ped2_Train004_07_local_appearance,local_appearance,29.079350733541773,0.9894297979772091,0.050968192517757416,0.013613427057862282,0.7310577630996704,0.9441371481524542,0.8542336548767417
ped2_Train004_08_static_object,static_object,28.655332827352808,0.991804264485836,0.09092489629983902,0.013957375660538673,0.7193166017532349,0.012893084777440562,0.8091743119266055
ped2_Train004_09_moving_object,moving_object,72.88579514005117,0.9999684542417526,1.3368875443120487e-05,0.016486436128616333,0.8107302188873291,0.9791362724472927,0.7846201454432926
ped2_Train004_10_local_appearance,local_appearance,37.83553173520498,0.9939148835837841,0.015612080693244934,0.016524430364370346,0.8008382320404053,0.853735221423209,0.8542336548767417
ped2_Train005_00_static_object,static_object,30.149931216024683,0.9936273023486137,0.0615977980196476,0.015951646491885185,0.8397782444953918,-0.002492366859024856,0.8091743119266055
ped2_Train005_01_moving_object,moving_object,71.66538765408926,0.9999643489718437,1.7798703993321396e-05,0.01767846569418907,0.8310167193412781,0.97312615745523,0.7846201454432926
ped2_Train005_02_local_appearance,local_appearance,35.58210065343313,0.993170615285635,0.030018048360943794,0.017225725576281548,0.7987284064292908,0.14890922500575268,0.8542336548767417
ped2_Train005_03_static_object,static_object,28.567026161932276,0.9917053058743477,0.05899126082658768,0.017434950917959213,0.8066599369049072,0.017254210728079103,0.8091743119266055
ped2_Train005_04_moving_object,moving_object,43.252144658350275,0.9984205327928066,0.0028373259119689465,0.01918705366551876,0.8580363392829895,0.1489981894918121,0.7846201454432926
ped2_Train005_05_local_appearance,local_appearance,29.098387264990137,0.9898653402924538,0.03703990578651428,0.015475798398256302,0.7879546880722046,0.21485359059727233,0.8542336548767417
ped2_Train005_06_static_object,static_object,30.404458546423243,0.9957822598516941,0.06486964225769043,0.01620807684957981,0.7850490808486938,0.00168866687940274,0.8091743119266055
ped2_Train005_07_moving_object,moving_object,45.28625776746206,0.9986404404044151,0.003000440075993538,0.022002819925546646,0.9674496054649353,0.26549377325254286,0.7846201454432926
ped2_Train005_08_local_appearance,local_appearance,29.254897141241358,0.9899863377213478,0.043217942118644714,0.015874629840254784,0.8418426513671875,0.5284495627454048,0.8542336548767417
ped2_Train005_09_static_object,static_object,28.644601607107447,0.9917273037135601,0.07194185256958008,0.01597212813794613,0.8251387476921082,0.01623565468224337,0.8091743119266055
ped2_Train005_10_moving_object,moving_object,45.529334747576044,0.9987701810896397,0.0022034982684999704,0.020076477900147438,0.8015404343605042,0.26980990790889714,0.7846201454432926
ped2_Train006_00_local_appearance,local_appearance,36.71706249692373,0.9934268444776535,0.026774879544973373,0.016265790909528732,0.9029764533042908,0.8354188466686565,0.8542336548767417
ped2_Train006_01_static_object,static_object,30.22338678815298,0.9953218214213848,0.07182858884334564,0.016901247203350067,0.8143106698989868,0.009308850347503929,0.8091743119266055
ped2_Train006_02_moving_object,moving_object,72.74492313840322,0.9999635368585587,1.2526463251560926e-05,0.016693340614438057,0.764438271522522,0.9600054222099242,0.7846201454432926
ped2_Train006_03_local_appearance,local_appearance,29.060304665350245,0.9898006804287434,0.04517847299575806,0.014147303067147732,0.738922119140625,0.4402367791893456,0.8542336548767417
ped2_Train006_04_static_object,static_object,30.563314461492823,0.9975457675755024,0.050776734948158264,0.01363274548202753,0.7227088212966919,-0.0031845311431887907,0.8091743119266055
ped2_Train006_05_moving_object,moving_object,71.49853279569082,0.9999633990228176,1.3781882444163784e-05,0.014140226878225803,0.6949483752250671,0.9813876662182408,0.7846201454432926
ped2_Train006_06_local_appearance,local_appearance,29.251256489538477,0.9899358823895454,0.03005506470799446,0.013124620541930199,0.7177368402481079,0.4427000687178616,0.8542336548767417
ped2_Train006_07_static_object,static_object,30.41495492436819,0.9961985908448696,0.06486102938652039,0.011864387430250645,0.7459381222724915,0.0002796522304803109,0.8091743119266055
ped2_Train006_08_moving_object,moving_object,71.35318806149893,0.9999631568789482,1.90084901987575e-05,0.0127665800973773,0.7478882074356079,0.9809901739937721,0.7846201454432926
ped2_Train007_00_local_appearance,local_appearance,35.01894524075918,0.9922422058880329,0.02605922892689705,0.011343837715685368,0.7403503656387329,0.18258619622153535,0.8542336548767417
ped2_Train007_01_static_object,static_object,30.624253058218287,0.997243944555521,0.06335823237895966,0.01117764599621296,0.6893870234489441,0.013176993731985201,0.8091743119266055
ped2_Train007_02_moving_object,moving_object,44.65051790454321,0.998569943010807,0.0028503411449491978,0.015448225662112236,0.7505232095718384,0.2661379601342469,0.7846201454432926
ped2_Train007_03_local_appearance,local_appearance,29.116108917974756,0.9892607517540455,0.06223733723163605,0.012257048860192299,0.7176798582077026,0.321730368591595,0.8542336548767417
