clip_id,anomaly_type,psnr,ssim,lpips,tlp,warp_error,residual_drop,mask_iou
sht_01_0014_static_object,static_object,29.24446752049856,0.992450013756752,0.102933868765831,0.0028853302355855703,0.32449275255203247,0.0,0.0
sht_01_0016_moving_object,moving_object,38.705469870352076,0.9937971085309982,0.026223106309771538,0.01150597259402275,0.5527872443199158,0.6884003598147115,0.45808491418247516
sht_01_002_local_appearance,local_appearance,29.645836853765772,0.9786737263202667,0.0922713354229927,0.05962657183408737,1.0210137367248535,-1.1149652505038314,0.254274118812514
sht_01_0026_static_object,static_object,29.490279459738062,0.9926191680133343,0.07536907494068146,0.003077195957303047,0.26372748613357544,0.0,0.0
sht_01_0029_moving_object,moving_object,48.60776697971754,0.9989923946559429,0.0028686397708952427,0.0072860755026340485,0.33939820528030396,0.8125453801473322,0.750036976778583
sht_01_003_local_appearance,local_appearance,35.08227517583303,0.9926018044352531,0.04180535674095154,0.04614388570189476,0.7010840177536011,-0.3233346948276213,0.5835599005032683
sht_01_0030_static_object,static_object,29.14734175183706,0.9907550849020481,0.10546666383743286,0.004815098829567432,0.30987924337387085,-0.5689633096993494,0.0
sht_01_005_moving_object,moving_object,40.99193265416555,0.9940438345074654,0.008132027462124825,0.011410693638026714,0.40440842509269714,0.8286119362557475,0.36810394889663184
sht_01_0054_local_appearance,local_appearance,34.72266962506704,0.9932955093681812,0.03979630023241043,0.04672452062368393,0.8062980771064758,-1.7555549031394777,0.5667081924423089
sht_01_0063_static_object,static_object,27.182510399603174,0.9736767522990704,0.10308493673801422,0.01659531518816948,0.5779561996459961,0.0,0.0
sht_01_007_moving_object,moving_object,43.596774244093226,0.9972060658037663,0.005496257450431585,0.009890676476061344,0.33674657344818115,0.9011393682850665,0.5002466212883496
sht_01_0073_local_appearance,local_appearance,33.85720779874258,0.9871368296444416,0.04423991218209267,0.023915784433484077,0.8440639972686768,-0.4061702297348288,0.4107089440622196
sht_01_0076_static_object,static_object,29.23123886563711,0.9910715445876122,0.10501334071159363,0.003571414155885577,0.2628292441368103,0.0,0.0
sht_01_009_moving_object,moving_object,43.74285479762487,0.9963776804506779,0.004696434363722801,0.005698746535927057,0.2923099100589752,0.9212217689294512,0.5960973316092629
sht_01_010_local_appearance,local_appearance,40.70065250375204,0.9942881166934967,0.0038537527434527874,0.006461257580667734,0.5224575400352478,-1.3301346507814338,0.5783078643309728
sht_01_011_static_object,static_object,27.061028980993555,0.9828086905181408,0.10335065424442291,0.006448485888540745,0.3140048384666443,0.0,0.0
sht_01_0129_moving_object,moving_object,48.609775358223246,0.9988939873874187,0.001958021894097328,0.0042396653443574905,0.24463434517383575,0.8337107914906642,0.8078700015931177
sht_01_013_local_appearance,local_appearance,31.32609298207693,0.9893696047365665,0.046221353113651276,0.02866242453455925,0.7131086587905884,-0.7688330617243365,0.5174968071519795
sht_01_0130_static_object,static_object,26.96223309018545,0.9795993380248547,0.11991098523139954,0.010052000172436237,0.3118652105331421,0.0,0.0
sht_01_0131_moving_object,moving_object,32.726548218511866,0.9879044517874718,0.027650702744722366,0.020343512296676636,0.5192979574203491,0.8148939407972788,0.3058135327463515
sht_01_0132_local_appearance,local_appearance,29.465818905615137,0.9780601821839809,0.06167854368686676,0.02967568300664425,0.7949492931365967,-0.6561964232697907,0.2887216930432527
sht_01_0133_static_object,static_object,28.949577116751,0.9921636246144772,0.07573265582323074,0.0025483558420091867,0.21955294907093048,0.0,0.0
sht_01_0134_moving_object,moving_object,33.041373991751,0.9916999563574791,0.03753996640443802,0.011473755352199078,0.35808172821998596,0.8098152747875412,0.43249466950959486
sht_01_0138_local_appearance,local_appearance,27.008381390356348,0.9719956889748573,0.04844648018479347,0.02716478519141674,1.1765773296356201,0.1808150427054926,0.121337990496869
sht_01_014_static_object,static_object,28.874881768011377,0.9879404306411743,0.09483475983142853,0.011660437099635601,0.42070990800857544,0.0,0.0
sht_01_0140_moving_object,moving_object,31.57617499806814,0.9824976474046707,0.03042004071176052,0.01936989650130272,0.6175520420074463,0.7556561108842421,0.2128793921329919
sht_01_015_local_appearance,local_appearance,36.107543015264795,0.995406974107027,0.024977389723062515,0.03220226988196373,0.6691623330116272,-0.9585890207012561,0.7235454354962632
sht_01_016_static_object,static_object,29.35149362065725,0.9931067563593388,0.042923711240291595,0.0034939267206937075,0.2178955078125,0.0,0.0
sht_01_0163_moving_object,moving_object,45.64951767899923,0.9978904090821743,0.005249274894595146,0.00915419589728117,0.3429948389530182,0.8355914327827456,0.6034749494228252
sht_01_017_local_appearance,local_appearance,35.449536347173975,0.9940003007650375,0.016613496467471123,0.02256789803504944,0.7253547310829163,-1.913011361379195,0.5875733559198983
sht_01_019_static_object,static_object,29.520434641622828,0.9922778308391571,0.04449666291475296,0.00270419055595994,0.19207729399204254,0.12389822298652682,0.0
sht_01_020_moving_object,moving_object,54.28660800435476,0.9992762580513954,0.0017165981698781252,0.005416626576334238,0.22259826958179474,0.8249355730514584,0.7984569359156038
sht_01_022_local_appearance,local_appearance,36.11718823888235,0.995082326233387,0.026336368173360825,0.033368851989507675,0.6012610793113708,-2.469781332700082,0.6540021894519931
sht_01_023_static_object,static_object,28.91268541791372,0.9875847399234772,0.10653723031282425,0.0033285703975707293,0.26607972383499146,0.0,0.0
sht_01_024_moving_object,moving_object,38.445117974066065,0.9944446310400963,0.004567737225443125,0.006141060963273048,0.367603600025177,0.8376890870854357,0.46535743782692485
sht_01_025_local_appearance,local_appearance,32.98943927266531,0.9920062944293022,0.02040763571858406,0.01784084178507328,0.6018015742301941,-0.6199407731942085,0.5702319587628866
sht_01_029_static_object,static_object,28.978060984396265,0.9888838864862919,0.05663461983203888,0.0044184355065226555,0.31951937079429626,-0.19953376639273,0.007085981444955804
sht_01_031_moving_object,moving_object,34.122831129812525,0.990309938788414,0.025423210114240646,0.012046259827911854,0.4868977665901184,0.7357310556734825,0.35754071776069946
sht_01_033_local_appearance,local_appearance,31.93808963277273,0.98839146271348,0.050004132091999054,0.05562823638319969,0.8809987306594849,-1.0683485090302405,0.34472318339100344
sht_01_035_static_object,static_object,26.777020001196192,0.9749817252159119,0.09113750606775284,0.019185448065400124,0.5367560982704163,0.2121486799964288,0.0
