clip_id,anomaly_type,psnr,ssim,lpips,tlp,warp_error,residual_drop,mask_iou
ped2_Train001_00_static_object,static_object,28.547760748647974,0.9867388904094696,0.0406266413629055,0.025568922981619835,1.2903703451156616,-57.00106821077245,0.3262588431127757
ped2_Train001_01_moving_object,moving_object,42.377008104109095,0.9975464977324009,0.004447694402188063,0.02444242313504219,1.2828714847564697,0.46771273701022414,0.6228964500675592
ped2_Train001_02_local_appearance,local_appearance,30.206271910452173,0.9891524091362953,0.034617871046066284,0.028573771938681602,1.407800316810608,-0.010979027350997355,0.029558617934891153
ped2_Train001_03_static_object,static_object,25.897298359655665,0.9683742336928844,0.09988980740308762,0.02008942887187004,1.152738094329834,-0.00643042316484231,0.0
ped2_Train001_04_moving_object,moving_object,24.083352589391993,0.9512905441224575,0.1253209412097931,0.055424485355615616,2.0166707038879395,0.020700151622737258,0.0012286836882113876
ped2_Train001_05_local_appearance,local_appearance,50.69096227862768,0.9993948936462402,0.0010473973816260695,0.020664729177951813,1.1085093021392822,-0.08172997635694074,0.5536369951374417
ped2_Train001_06_static_object,static_object,44.40958520152502,0.9972576200962067,0.00527903251349926,0.02224772609770298,1.149259090423584,0.029457372455510167,0.6664777557381695
ped2_Train002_00_moving_object,moving_object,70.79638054349356,0.9999617859721184,1.295104630116839e-05,0.021006425842642784,1.3506327867507935,0.9838441944498973,0.6240462712281565
ped2_Train002_01_local_appearance,local_appearance,39.236560964369104,0.9961257725954056,0.005659244954586029,0.023029277101159096,1.2901865243911743,0.19447249981807618,0.6468369829683698
ped2_Train002_02_static_object,static_object,42.39338865258627,0.994192436337471,0.004526830278337002,0.02154693752527237,1.2469953298568726,-0.16774740446391415,0.6687517770827409
ped2_Train002_03_moving_object,moving_object,62.56131103017263,0.9998831152915955,9.896255505736917e-05,0.020792171359062195,1.2543965578079224,0.6911145070540796,0.6203058103975535
ped2_Train002_04_local_appearance,local_appearance,18.672020935797022,0.7779018580913544,0.24475015699863434,0.05492403730750084,3.1832480430603027,0.0005355331547311244,1.0463479839490219e-05
ped2_Train002_05_static_object,static_object,33.374025130056665,0.9896331652998924,0.01615593582391739,0.02140653505921364,1.2281655073165894,-0.1905731256298437,0.49280625785724264
ped2_Train002_06_moving_object,moving_object,26.687052750372217,0.9700641706585884,0.09463945776224136,0.05852845311164856,1.6159671545028687,-0.03946221149885644,0.0008799934512115259
ped2_Train002_07_local_appearance,local_appearance,38.527228736662195,0.9897823929786682,0.018677491694688797,0.02170264907181263,1.2525421380996704,0.8076906998225618,0.43226600985221675
ped2_Train002_08_static_object,static_object,28.477561974310206,0.9903037287294865,0.06467659771442413,0.02174418419599533,1.2813314199447632,0.23376734707990274,0.0036381424072885137
ped2_Train003_00_moving_object,moving_object,23.38181545712881,0.8475871570408344,0.20319217443466187,0.06509019434452057,3.114776134490967,-0.03596682077081503,0.00042747849386546324
ped2_Train003_01_local_appearance,local_appearance,50.20484393217497,0.9993392340838909,0.000679870427120477,0.021619386970996857,1.2723857164382935,-0.3586325756249195,0.6512197968950625
ped2_Train003_02_static_object,static_object,17.868285679601954,0.7956577204167843,0.2227846384048462,0.04610038176178932,4.133913993835449,-98.95664833935295,0.005103378316768487
ped2_Train003_03_moving_object,moving_object,16.53493931271963,0.7658260576426983,0.30057665705680847,0.0376734659075737,3.4588117599487305,0.4182856416819146,0.001075912177662346
ped2_Train003_04_local_appearance,local_appearance,65.83260347821646,0.9999239966273308,3.865422331728041e-05,0.02066618949174881,1.1818023920059204,0.9487106432631954,0.6171801537695669
ped2_Train003_05_static_object,static_object,29.964141154074,0.9847357422113419,0.08803962171077728,0.019567640498280525,1.1476393938064575,0.11306147640049498,0.0
ped2_Train003_06_moving_object,moving_object,51.98505272843771,0.9996375180780888,0.0005322099314071238,0.020905110985040665,1.174415111541748,0.49921350413450594,0.6202299412915852
ped2_Train003_07_local_appearance,local_appearance,68.26701214291982,0.9999294430017471,5.3987248975317925e-05,0.020023321732878685,1.1363424062728882,0.9230597190159843,0.659346545259775
ped2_Train003_08_static_object,static_object,51.42543067910604,0.9983973354101181,0.0014415279729291797,0.02052653208374977,1.1781752109527588,-1.3188040551602518,0.6663518745868354
ped2_Train004_00_moving_object,moving_object,28.39366366841726,0.9618186876177788,0.08881903439760208,0.054142169654369354,1.634592056274414,-0.039034294396801256,0.001496278990405439
ped2_Train004_01_local_appearance,local_appearance,65.33650329091482,0.9998627975583076,0.00016925291856750846,0.01065504178404808,0.6188934445381165,0.9072549598880275,0.6175558999335843
ped2_Train004_02_static_object,static_object,25.759060883306788,0.9486398287117481,0.07991863042116165,0.015001512132585049,0.8684869408607483,-3.4963260545571218,0.0013502755972954182
ped2_Train004_03_moving_object,moving_object,30.731266045355127,0.990928165614605,0.0850510522723198,0.057050611823797226,1.3017058372497559,-0.03768269349486709,0.0
ped2_Train004_04_local_appearance,local_appearance,29.129114651464747,0.9919978715479374,0.01817236840724945,0.012448824010789394,0.6571404933929443,0.9316355107118316,0.432732950001904
ped2_Train004_05_static_object,static_object,33.56105139233999,0.9854679927229881,0.03151973336935043,0.020644383504986763,0.7899013757705688,-35.763223471602984,0.3613088227763838
ped2_Train004_06_moving_object,moving_object,31.00918223836355,0.9903340376913548,0.056191667914390564,0.04484494403004646,1.2356940507888794,0.26266552425882433,0.0990625
ped2_Train004_07_local_appearance,local_appearance,65.4771809814208,0.9998694397509098,9.020773723023012e-05,0.014440527185797691,0.7345001101493835,0.9457127699505317,0.6283365243833765
ped2_Train004_08_static_object,static_object,36.83120300748281,0.9897526241838932,0.025927960872650146,0.015171851962804794,0.6891401410102844,-1.4419075345349543,0.29052579569316916
ped2_Train004_09_moving_object,moving_object,29.506700539373682,0.980914082378149,0.0921952873468399,0.04071476683020592,1.2155948877334595,0.21623513936515845,0.007425023120623596
ped2_Train004_10_local_appearance,local_appearance,62.19732930638723,0.9998417906463146,0.00010449968976899981,0.016707556322216988,0.8099772334098816,0.7971764147544572,0.6214984104132926
ped2_Train005_00_static_object,static_object,45.246662103914545,0.9968570210039616,0.002447177655994892,0.01710755191743374,0.8512115478515625,0.01702878518262929,0.6661002548853017
ped2_Train005_01_moving_object,moving_object,17.357233071111963,0.7399437464773655,0.35797250270843506,0.1134902834892273,4.032928943634033,0.13042379616891767,9.512282988395015e-05
ped2_Train005_02_local_appearance,local_appearance,28.097730183386133,0.9485991895198822,0.08838561177253723,0.030891165137290955,1.3073676824569702,-0.016011281784067247,0.0
ped2_Train005_03_static_object,static_object,20.488837265753077,0.8622017540037632,0.1956607699394226,0.037765830755233765,1.9494801759719849,-23.888716426870804,0.005569310994791906
ped2_Train005_04_moving_object,moving_object,42.13209083058767,0.9980269856750965,0.002989776199683547,0.018932528793811798,0.8635640740394592,0.35564715232374294,0.628298847726428
ped2_Train005_05_local_appearance,local_appearance,23.13718607404165,0.8664950244128704,0.16172251105308533,0.04748881980776787,2.375720739364624,0.0,0.0
ped2_Train005_06_static_object,static_object,44.061854386114405,0.9953425154089928,0.010779323056340218,0.02558794803917408,0.8580054044723511,-16.76199009663308,0.6661002548853017
ped2_Train005_07_moving_object,moving_object,29.86379911878042,0.9732981994748116,0.09097771346569061,0.04565291479229927,1.5655521154403687,0.28293704739369674,0.0018499643257568036
ped2_Train005_08_local_appearance,local_appearance,26.52285149075918,0.9645001888275146,0.07747302949428558,0.03425653278827667,1.2696367502212524,0.0014202241712386618,0.002248969971752937
ped2_Train005_09_static_object,static_object,41.607094907545374,0.995358232408762,0.016686785966157913,0.026091529056429863,0.9076497554779053,-22.460008316863,0.6635320669550498
ped2_Train005_10_moving_object,moving_object,28.45228722073965,0.9619368128478527,0.0778297483921051,0.05172266811132431,1.5472103357315063,-0.010637145577361194,0.0012251660239185821
ped2_Train006_00_local_appearance,local_appearance,62.50118901708059,0.9998207949101925,0.00014498822565656155,0.016469335183501244,0.9096629023551941,0.8005211509991589,0.6334049922369521
ped2_Train006_01_static_object,static_object,26.654797100805567,0.9529974348843098,0.11886817216873169,0.021298334002494812,1.0613501071929932,-1.1524315189145642,0.0
